,N_S,N_W,S_N,S_W,W_N,W_S
288,30.785498,24.6781,43.740036,4.124897,14.48812,7.272865
289,31.23436,24.990335,43.88011,4.124718,14.5416565,7.2203965
290,31.9628,24.901327,44.057854,4.233407,14.604925,7.1888323
291,33.117344,24.667345,44.99732,4.343309,15.4713955,7.347426
292,33.089787,23.718935,45.099342,4.282591,15.523027,7.619984
293,34.124706,22.991991,46.038128,4.450074,16.696865,7.890182
294,34.4177,21.945265,46.45136,4.4054894,17.123999,8.339189
295,33.942192,20.998623,46.470592,4.633399,16.831827,8.569022
296,33.38598,20.922724,46.61262,4.7865973,16.476856,8.494607
297,33.1638,20.734282,46.80184,5.4216614,16.119942,8.336524
298,32.118324,20.503376,46.937233,5.768243,15.397727,8.48532
299,32.208073,20.701086,47.393444,6.0539966,15.730627,9.198804
300,31.872858,21.073847,47.456974,6.4608607,15.423019,9.5966015
301,31.234253,21.428457,46.933594,6.528017,14.881495,10.038381
302,30.441828,21.239952,46.14912,6.523443,14.338671,10.053465
303,30.413336,21.138086,45.73174,6.220943,14.062454,10.218071
304,30.080788,20.827349,44.751682,5.9442353,13.661177,10.3907795
305,29.495361,20.36791,44.30273,5.5748305,13.06723,10.50157
306,29.618837,19.967772,44.230003,5.408048,12.975623,10.702096
307,28.63395,19.520773,44.064415,5.4290304,12.953243,10.944856
308,29.621532,19.464485,44.775658,5.331993,14.121409,11.269072
309,31.966423,19.574049,45.824505,5.3561215,15.59033,11.424751
310,33.62135,20.372683,46.51718,5.44654,16.738106,11.933353
311,34.148174,20.866665,45.98793,5.223051,17.161566,13.181413
312,34.536594,21.185688,45.349773,5.347452,17.126825,15.133934
313,35.28514,21.37005,45.63505,6.032609,17.459219,16.36504
314,35.631557,21.565054,45.245937,6.269593,17.2528,17.6325
315,35.131523,21.542091,44.751637,6.755359,16.944386,20.545809
316,35.521828,22.163338,45.344543,6.6985784,17.552212,21.154623
317,35.741882,22.545818,46.12184,6.25089,17.974373,20.88571
318,35.58208,22.907473,46.18579,5.682997,17.609863,20.054085
319,35.85845,23.338364,46.598465,5.7129416,17.566986,19.500446
320,35.75821,23.59686,45.892044,5.383732,17.260359,18.11567
321,36.755844,25.2361,46.588272,5.129075,18.406971,17.254004
322,37.5303,26.224201,46.271107,4.6681576,18.94567,16.856873
323,37.61998,26.378857,45.97804,4.327338,18.866816,17.038326
324,37.471546,26.170113,46.05696,4.1277423,18.58146,16.253548
325,35.990448,26.190508,45.199856,3.8704958,17.697258,14.733012
326,35.16917,25.82793,44.84904,3.5415633,17.352486,13.139354
327,34.528366,25.108444,44.716377,3.411689,16.763596,11.853244
328,33.858593,24.325996,44.52588,3.4590979,16.280308,10.58971
329,32.941235,23.851688,44.471855,3.4607615,15.404738,9.451346
330,31.74656,23.877642,44.635773,3.335186,14.502659,8.4336605
331,31.213722,23.415907,44.61974,3.134664,13.877817,7.576523
332,29.76268,23.480864,44.475925,2.904549,13.33066,6.845857
333,29.568108,23.437157,44.697277,2.8234441,13.145084,6.4036736
334,28.556463,23.237764,44.837795,2.7439263,13.051888,6.134012
335,27.112492,22.46414,44.485313,2.6171122,13.095667,5.8287883
336,25.918537,21.337908,44.062836,2.4263341,12.810711,5.669919
337,25.125223,20.685135,44.096836,2.3509326,12.3617525,5.664977
338,24.234766,20.203056,44.299294,2.3458292,11.773918,5.5911546
339,23.719032,20.072275,44.44505,2.4383385,11.231974,5.4871426
340,23.599373,19.99066,44.5473,2.588305,10.74776,5.4298115
341,22.87518,20.094433,44.61754,2.620873,10.44918,5.406262
342,22.706038,19.705166,44.673824,2.6277647,10.517525,5.3626285
343,23.185583,19.097303,44.859615,2.7161865,10.64599,5.3155107
344,23.785654,18.525265,44.81639,2.803286,11.045363,5.3197584
345,24.49677,18.330967,45.234127,2.886275,11.561597,5.6414514
346,24.925552,18.797647,45.74013,2.914074,11.788226,5.8626504
347,24.412268,19.040766,45.609,2.9050274,11.790076,6.024882
348,24.122057,19.878645,45.45625,2.819418,11.9052515,6.0991087
349,23.91328,20.483805,45.603554,2.7449045,12.258709,6.157616
350,24.111776,20.993086,45.795887,2.582769,12.499733,6.295103
351,24.19214,21.201376,46.174458,2.4167054,12.3548,6.2876077
352,24.286697,21.162401,45.617214,2.447678,11.966163,6.3772335
353,25.178133,20.572247,45.40986,2.4076476,12.289648,6.339291
354,25.63111,19.963835,44.990692,2.5695918,12.20054,6.379005
355,26.283798,19.53341,44.70928,2.9041348,12.048437,6.453741
356,26.244726,19.341211,44.56855,3.2389302,11.738843,6.675726
357,26.45858,18.62463,44.63223,3.455347,11.940223,6.7268915
358,26.656094,18.457113,44.79511,3.6917565,11.886844,6.7094893
359,26.11527,18.194986,44.690178,3.8183455,11.736432,6.672766
360,25.646841,18.230661,44.29066,3.8678358,11.533868,6.731296
361,25.217293,18.700647,44.31647,3.75384,11.570904,6.849584
362,26.273035,18.871393,44.83759,3.5988796,12.033125,6.9491196
363,26.429602,19.329784,44.391045,3.4275162,12.355887,7.645068
364,26.293854,20.098537,43.639378,4.2716126,12.248598,8.1182995
365,27.419111,21.614786,43.803547,4.544017,13.212745,8.627104
366,29.150978,22.665539,44.337387,4.7999454,14.590185,8.942352
367,31.214457,23.661512,45.339134,4.841665,16.158876,8.901464
368,32.900314,24.88213,46.267902,4.6941047,17.395103,9.100688
369,34.025665,26.311113,47.17131,4.4966917,18.033445,9.430377
370,35.58119,27.47246,48.640636,4.338886,19.16238,9.702393
371,36.67487,27.801775,50.155903,4.2177143,19.884933,10.061016
372,37.20348,27.716528,50.960358,4.1838975,20.000622,9.771054
373,37.219715,27.469736,50.618645,4.154638,19.74799,9.5068445
374,37.680527,27.325436,50.39226,4.351779,19.742321,10.02599
375,37.446926,27.817017,50.190205,4.453897,19.386927,10.107167
376,37.52336,28.924038,50.526245,4.555505,19.777824,9.927219
377,37.68319,30.115818,50.826633,4.5325723,19.99881,9.536569
378,37.744205,30.468054,50.632915,4.376632,20.054918,9.442007
379,36.994576,29.736446,49.538815,4.2611866,19.45963,9.474613
380,36.780453,29.189886,49.113075,4.1768794,19.38281,9.472259
381,35.835835,27.749527,47.97494,3.9523754,18.584944,9.522347
382,35.83324,26.58761,47.613567,4.139979,19.010674,9.11403
383,35.667583,25.98988,47.151855,4.1232066,18.931013,9.04636
384,34.8908,24.906105,45.796432,4.053775,18.245073,9.00051
385,34.769115,23.85627,45.29396,3.8435347,18.030807,9.688466
386,34.19349,23.288284,45.270744,3.6712337,17.6129,10.342601
387,34.469124,23.042065,45.69058,3.422972,17.553505,10.350995
388,34.438137,23.57982,46.144417,3.2543294,17.296131,10.277082
389,34.485245,23.592607,45.93945,3.0948539,16.509634,10.7988
390,35.23073,24.06911,46.207726,3.0538516,16.447357,11.058364
391,36.16455,23.652939,47.082333,3.1930482,17.122715,11.287692
392,37.520466,23.719507,48.54835,3.2302818,18.550617,10.995214
393,38.664043,23.326704,49.79602,3.2598152,19.765314,10.61209
394,39.045887,22.964996,50.231945,3.172647,20.397207,10.084006
395,39.39337,22.136581,50.97351,3.17673,21.013083,10.0382
396,40.65683,21.92615,52.58771,3.3340518,22.687656,10.365626
